sku,component_id,component_name,component_cost
LAP1001,C001,Motherboard,18000.0
LAP1001,C002,Display,12000.0
LAP1001,C003,Battery,6000.0
LAP1001,C004,SSD,5000.0
LAP1001,C005,Keyboard,2500.0
LAP1001,C006,Cooling Fan,1800.0
LAP1002,C001,Motherboard,18900.0
LAP1002,C002,Display,12600.0
LAP1002,C003,Battery,6300.0
LAP1002,C004,SSD,5250.0
LAP1002,C005,Keyboard,2625.0
LAP1002,C006,Cooling Fan,1890.0
LAP1003,C001,Motherboard,17100.0
LAP1003,C002,Display,11400.0
LAP1003,C003,Battery,5700.0
LAP1003,C004,SSD,4750.0
LAP1003,C005,Keyboard,2375.0
LAP1003,C006,Cooling Fan,1710.0
LAP1004,C001,Motherboard,18000.0
LAP1004,C002,Display,12000.0
LAP1004,C003,Battery,6000.0
LAP1004,C004,SSD,5000.0
LAP1004,C005,Keyboard,2500.0
LAP1004,C006,Cooling Fan,1800.0
LAP1005,C001,Motherboard,18900.0
LAP1005,C002,Display,12600.0
LAP1005,C003,Battery,6300.0
LAP1005,C004,SSD,5250.0
LAP1005,C005,Keyboard,2625.0
LAP1005,C006,Cooling Fan,1890.0
LAP1006,C001,Motherboard,17100.0
LAP1006,C002,Display,11400.0
LAP1006,C003,Battery,5700.0
LAP1006,C004,SSD,4750.0
LAP1006,C005,Keyboard,2375.0
LAP1006,C006,Cooling Fan,1710.0
LAP1007,C001,Motherboard,18000.0
LAP1007,C002,Display,12000.0
LAP1007,C003,Battery,6000.0
LAP1007,C004,SSD,5000.0
LAP1007,C005,Keyboard,2500.0
LAP1007,C006,Cooling Fan,1800.0
LAP1008,C001,Motherboard,18900.0
LAP1008,C002,Display,12600.0
LAP1008,C003,Battery,6300.0
LAP1008,C004,SSD,5250.0
LAP1008,C005,Keyboard,2625.0
LAP1008,C006,Cooling Fan,1890.0
LAP1009,C001,Motherboard,17100.0
LAP1009,C002,Display,11400.0
LAP1009,C003,Battery,5700.0
LAP1009,C004,SSD,4750.0
LAP1009,C005,Keyboard,2375.0
LAP1009,C006,Cooling Fan,1710.0
LAP1010,C001,Motherboard,18000.0
LAP1010,C002,Display,12000.0
LAP1010,C003,Battery,6000.0
LAP1010,C004,SSD,5000.0
LAP1010,C005,Keyboard,2500.0
LAP1010,C006,Cooling Fan,1800.0
